iter	Passed	Remaining
435	1273	1647
436	1275	1643
437	1281	1643
438	1282	1638
439	1283	1633
440	1285	1629
441	1286	1624
442	1288	1619
443	1289	1614
444	1294	1614
445	1296	1610
446	1297	1605
447	1299	1600
448	1300	1596
449	1302	1591
450	1303	1586
451	1304	1582
452	1311	1584
453	1314	1580
454	1316	1577
455	1318	1572
456	1319	1568
457	1324	1567
458	1330	1568
459	1332	1564
460	1334	1560
461	1336	1555
462	1337	1551
463	1339	1546
464	1340	1542
465	1341	1537
466	1343	1533
467	1344	1528
468	1346	1524
469	1350	1523
470	1352	1518
471	1353	1514
472	1355	1509
473	1356	1505
474	1357	1500
475	1358	1495
476	1360	1491
477	1366	1492
478	1367	1487
479	1369	1483
480	1370	1479
481	1372	1474
482	1373	1470
483	1374	1465
484	1376	1461
485	1430	1513
486	1433	1509
487	1435	1505
488	1437	1501
489	1440	1498
490	1445	1498
491	1447	1495
492	1450	1491
493	1452	1487
494	1454	1483
495	1456	1479
496	1461	1479
497	1464	1475
498	1466	1471
499	1468	1468
500	1470	1464
501	1472	1460
502	1474	1456
503	1475	1452
504	1477	1448
505	1480	1444
506	1484	1443
507	1487	1440
508	1489	1436
509	1491	1432
510	1493	1428
511	1495	1425
512	1500	1424
513	1508	1426
514	1510	1422
515	1517	1423
516	1519	1419
517	1520	1415
518	1522	1411
519	1525	1407
520	1528	1405
521	1530	1401
522	1532	1397
523	1534	1394
524	1536	1390
525	1538	1386
526	1584	1422
527	1587	1418
528	1590	1416
529	1593	1412
530	1595	1408
531	1599	1407
532	1601	1403
533	1603	1399
534	1609	1399
535	1611	1395
536	1613	1391
537	1615	1387
538	1618	1383
539	1628	1387
540	1631	1383
541	1633	1379
542	1635	1376
543	1640	1374
544	1642	1371
545	1644	1367
546	1646	1363
547	1648	1360
548	1653	1358
549	1655	1354
550	1657	1350
551	1659	1347
552	1673	1352
553	1675	1348
554	1677	1345
555	1684	1344
556	1686	1340
557	1703	1349
558	1705	1345
559	1710	1343
560	1719	1345
561	1721	1341
562	1724	1338
563	1732	1338
564	1734	1335
565	1736	1331
566	1738	1327
567	1740	1324
568	1747	1323
569	1749	1319
570	1751	1315
571	1754	1312
572	1756	1308
573	1759	1305
574	1761	1301
575	1762	1297
576	1763	1293
577	1765	1288
578	1770	1287
579	1772	1283
580	1773	1279
581	1775	1275
582	1776	1271
583	1778	1266
584	1779	1262
585	1781	1258
586	1787	1257
587	1789	1253
588	1790	1249
589	1793	1246
590	1794	1242
591	1799	1239
592	1800	1236
593	1802	1232
594	1804	1227
595	1805	1223
596	1806	1219
597	1808	1215
598	1809	1211
599	1815	1210
600	1816	1206
601	1818	1202
602	1819	1198
603	1821	1194
604	1822	1190
605	1824	1185
606	1825	1181
607	1827	1178
608	1828	1174
609	1830	1170
610	1831	1166
611	1833	1162
612	1834	1158
613	1836	1154
614	1842	1153
615	1844	1149
616	1845	1145
617	1847	1141
618	1848	1138
619	1850	1134
620	1851	1130
621	1854	1127
622	1856	1123
623	1857	1119
624	1859	1115
625	1860	1111
626	1862	1107
627	1866	1105
628	1868	1102
629	1870	1098
630	1878	1098
631	1886	1098
632	1888	1094
633	1890	1091
634	1892	1087
635	1893	1083
636	1899	1082
637	1901	1078
638	1902	1074
639	1904	1071
640	1907	1068
641	1909	1064
642	1914	1063
643	1916	1059
644	1918	1055
645	1920	1052
646	1921	1048
647	1923	1044
648	1925	1041
649	1927	1037
650	1928	1034
651	1930	1030
652	1931	1026
653	1933	1022
654	1935	1019
655	1937	1015
656	1941	1013
657	1942	1009
658	1944	1005
659	1945	1002
660	1947	998
661	1949	995
662	1950	991
663	1955	989
664	1958	986
665	1959	982
666	1960	978
667	1962	975
668	1963	971
669	1965	968
670	1969	965
671	1971	962
672	1973	959
673	1976	956
674	1978	952
675	1979	948
676	1981	945
677	1985	943
678	1987	939
679	1988	935
680	1989	932
681	1991	928
682	1993	925
683	1995	921
684	2001	920
685	2003	916
686	2004	913
687	2006	909
688	2007	906
689	2009	902
690	2010	899
691	2015	896
692	2017	893
693	2018	890
694	2020	886
695	2022	883
696	2025	880
697	2029	878
698	2031	874
699	2033	871
700	2035	868
701	2036	864
702	2038	861
703	2040	857
704	2044	855
705	2046	852
706	2047	848
707	2049	845
708	2051	841
709	2054	839
710	2056	835
711	2058	832
712	2060	829
713	2062	826
714	2065	823
715	2067	819
716	2068	816
717	2072	814
718	2074	810
719	2076	807
720	2078	804
721	2079	800
722	2081	797
723	2083	794
724	2085	791
725	2087	787
726	2088	784
727	2090	780
728	2091	777
729	2093	774
730	2094	770
731	2096	767
732	2100	764
733	2101	761
734	2103	758
735	2104	754
736	2106	751
737	2107	748
738	2110	745
739	2111	741
740	2117	740
741	2118	736
742	2120	733
743	2122	730
744	2123	726
745	2124	723
746	2126	720
747	2130	717
748	2132	714
749	2133	711
750	2135	707
751	2136	704
752	2138	701
753	2140	698
754	2144	695
755	2146	692
756	2148	689
757	2149	686
758	2153	683
759	2155	680
760	2160	678
761	2162	675
762	2167	673
763	2171	670
764	2174	667
765	2177	665
766	2179	662
767	2181	658
768	2182	655
769	2184	652
770	2186	649
771	2190	647
772	2192	643
773	2195	641
774	2196	637
775	2198	634
776	2201	631
777	2205	629
778	2206	626
779	2208	622
780	2209	619
781	2211	616
782	2212	613
783	2214	610
784	2215	606
785	2219	604
786	2221	601
787	2223	598
788	2224	594
789	2225	591
790	2227	588
791	2230	585
792	2231	582
793	2233	579
794	2235	576
795	2237	573
